ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000922.SZ,2001-07-10,17.9300,18.1900,0.0143
000922.SZ,2003-08-25,5.2200,8.8700,0.4115
000922.SZ,2020-05-25,6.1000,7.4000,0.1757
000922.SZ,2021-05-27,7.3400,7.5000,0.0213
000922.SZ,2024-06-04,13.9000,14.1000,0.0142
000922.SZ,2025-05-20,10.8500,10.9600,0.0100
000923.SZ,2000-05-19,9.4200,9.5400,0.0126
000923.SZ,2001-05-21,13.5900,13.7400,0.0109
000923.SZ,2022-06-10,14.9200,15.2200,0.0197
000923.SZ,2023-06-28,13.4000,13.7000,0.0219
000923.SZ,2024-06-03,18.6600,19.2600,0.0312
000923.SZ,2025-06-25,13.2800,13.7800,0.0363
000925.SZ,2009-09-11,22.5500,45.0900,0.4999
000925.SZ,2018-06-21,6.5600,9.1800,0.2854
000926.SZ,2000-11-10,17.1700,22.3200,0.2307
000926.SZ,2002-05-27,9.9800,10.1000,0.0119
